Ticker,B&H MaxDD (%),ML MaxDD (%),Počet Obchodov,Win Rate (%)
AAPL,-13.8,-9.04,70,56.35
MSFT,-33.91,-3.18,64,63.83
NVDA,-20.21,-9.66,72,54.7
GOOGL,-20.37,-18.32,25,53.39
META,-33.3,-18.81,73,54.0
NFLX,-43.35,-22.92,121,62.38
AMZN,-21.74,-16.93,84,62.38
TSLA,-27.48,-13.55,69,64.84
HD,-23.25,0.0,0,0.0
PG,-17.62,-6.88,74,60.34
KO,-9.82,-9.82,4,48.33
WMT,-10.92,-10.92,6,51.46
JNJ,-7.22,-6.95,49,54.14
UNH,-59.07,-35.89,59,51.14
PFE,-11.47,-5.99,48,53.28
JPM,-15.47,-10.76,60,58.39
V,-20.38,-9.48,69,63.49
BAC,-17.93,-4.69,66,67.19
CAT,-13.88,-13.11,53,57.58
BA,-24.96,-6.66,68,56.0
LMT,-15.56,-10.62,82,59.86
XOM,-8.32,-6.29,78,62.83
CVX,-8.31,-7.99,16,57.73
COP,-13.47,-8.69,87,60.36
LIN,-19.18,-5.3,37,66.67
SHW,-18.74,-13.35,44,49.49
PLD,-9.59,-6.57,101,60.0
O,-11.1,-5.06,79,52.17
NEE,-10.75,-10.26,46,57.56
DUK,-10.88,-7.12,78,59.09
DIA,-9.76,-9.28,36,55.71
